Identifiant,Nom du commerce,Numéro voie,Nom voie,Code postal,Nom commune,Longitude,Latitude,geo_shape,geo_point_2d,zone,commerce_address
1078,HOTEL VANEAU SAINT GERMAIN,86,RUE VANEAU,0,,2.320387,48.848551,"{""coordinates"": [2.3203870002304714, 48.84855099916206], ""type"": ""Point""}","48.84855099916206, 2.3203870002304714",Necker,86 RUE VANEAU
959,LES ONDES,2,AVENUE DE VERSAILLES,0,,2.277942,48.851203,"{""coordinates"": [2.277941999845164, 48.85120299886151], ""type"": ""Point""}","48.85120299886151, 2.277941999845164",Grenelle,2 AVENUE DE VERSAILLES
1886,MUSEE BOURDELLE,18,RUE ANTOINE BOURDELLE,0,,2.318588,48.842975,"{""coordinates"": [2.3185879997763355, 48.84297499929375], ""type"": ""Point""}","48.84297499929375, 2.3185879997763355",Necker,18 RUE ANTOINE BOURDELLE
1979,METRO CHARLES MICHELS,0,RUE DES ENTREPRENEURS,0,,2.2862163,48.8464156,"{""coordinates"": [2.286216300010572, 48.84641559869677], ""type"": ""Point""}","48.84641559869677, 2.286216300010572",Grenelle,0 RUE DES ENTREPRENEURS
1988,BIBLIOTHEQUE VAUGIRARD,154,RUE LECOURBE,0,,2.2993589,48.8417004,"{""coordinates"": [2.2993588994203487, 48.8417003988534], ""type"": ""Point""}","48.8417003988534, 2.2993588994203487",Saint-Lambert,154 RUE LECOURBE
981,HUET SERRURERIE,90,AVENUE EMILE ZOLA,0,,2.28805,48.846554,"{""coordinates"": [2.2880500000245414, 48.846553999253636], ""type"": ""Point""}","48.846553999253636, 2.2880500000245414",Grenelle,90 AVENUE EMILE ZOLA
996,MALT IN STOCK,354,RUE DE VAUGIRARD,0,,2.293148,48.835791,"{""coordinates"": [2.293148000374203, 48.83579099891436], ""type"": ""Point""}","48.83579099891436, 2.293148000374203",Saint-Lambert,354 RUE DE VAUGIRARD
1001,KAMEME CONCEPT,18,RUE GRAMME,0,,2.296173,48.844911,"{""coordinates"": [2.2961730002800453, 48.84491099945355], ""type"": ""Point""}","48.84491099945355, 2.2961730002800453",Saint-Lambert,18 RUE GRAMME
1088,PASSE PRESENT,35,BOULEVARD DU MONTPARNASSE,0,,2.321069,48.845024,"{""coordinates"": [2.3210690005184222, 48.84502399910124], ""type"": ""Point""}","48.84502399910124, 2.3210690005184222",Necker,35 BOULEVARD DU MONTPARNASSE
1095,DREAM CAFE,39,BOULEVARD DU MONTPARNASSE,0,,2.32138,48.844921,"{""coordinates"": [2.321380000072367, 48.84492099948672], ""type"": ""Point""}","48.84492099948672, 2.321380000072367",Necker,39 BOULEVARD DU MONTPARNASSE
961,HOTEL OKKO PARIS PORTE DE VERSAILLES,2,RUE DU COLONEL PIERRE AVIA,0,,2.278084,48.832296,"{""coordinates"": [2.2780839994166246, 48.8322959988684], ""type"": ""Point""}","48.8322959988684, 2.2780839994166246",Javel,2 RUE DU COLONEL PIERRE AVIA
963,BOULANGERIE MOZART,147,AVENUE FELIX FAURE,0,,2.279211,48.837045,"{""coordinates"": [2.279210999758856, 48.83704499919112], ""type"": ""Point""}","48.83704499919112, 2.279210999758856",Javel,147 AVENUE FELIX FAURE
1117,ROSE & PERLE,27,RUE DE VARENNE,0,,2.32399,48.853904,"{""coordinates"": [2.3239899997479885, 48.853903999260595], ""type"": ""Point""}","48.853903999260595, 2.3239899997479885",Necker,27 RUE DE VARENNE
