bin_id,cycle_id,timestamp,fill_real,fill_pred,error_fill,time_to_90_real,time_to_90_pred,error_time_h,error_time_min
5684,56,2025-10-26 06:00:00,82.42,83.3322,0.9122009,10.000001,8.691135,1.3088655,78.53194
5685,117,2025-10-26 06:00:00,85.2,85.56763,0.36763,4.0,4.8049664,0.80496645,48.29799
5685,117,2025-10-26 07:00:00,86.62,86.88525,0.26524353,3.0,3.7517915,0.7517915,45.10749
5491,36,2025-10-26 07:00:00,88.95,85.74961,3.200386,4.0,4.8465695,0.84656954,50.794174
5684,56,2025-10-26 07:00:00,82.38,83.98291,1.6029129,9.0,7.7056885,1.2943115,77.65869
5685,117,2025-10-26 08:00:00,88.64,88.42148,0.21852112,2.0,2.7703981,0.77039814,46.22389
5491,36,2025-10-26 08:00:00,89.18,87.23116,1.9488373,3.0,3.4710512,0.47105122,28.263073
5684,56,2025-10-26 08:00:00,83.59,85.2525,1.6625061,8.0,6.590254,1.4097462,84.58477
5491,36,2025-10-26 09:00:00,89.91,89.09055,0.8194504,2.0,2.43446,0.43445992,26.067596
5684,56,2025-10-26 09:00:00,84.47,85.6402,1.1701965,7.0,5.9633965,1.0366035,62.196205
5491,36,2025-10-26 10:00:00,90.17,90.448586,0.27858734,1.0,0.9923086,0.0076913834,0.461483
5684,56,2025-10-26 10:00:00,85.58,86.26117,0.6811676,5.9999995,5.3089705,0.6910291,41.461746
4782,87,2025-10-26 10:00:00,70.72,74.63422,3.914215,13.000001,9.929577,3.070424,184.22545
5491,36,2025-10-26 11:00:00,90.77,91.159615,0.38961792,0.0,0.07138396,0.07138396,4.2830377
5684,56,2025-10-26 11:00:00,86.74,86.483345,0.25665283,5.0,4.2517276,0.7482724,44.896347
4782,87,2025-10-26 11:00:00,72.24,74.95231,2.7123108,11.999999,9.745942,2.254057,135.24341
5491,36,2025-10-26 12:00:00,90.82,91.33744,0.5174408,0.0,0.013754774,0.013754774,0.82528645
5684,56,2025-10-26 12:00:00,87.94,87.74712,0.19287872,4.0,3.299625,0.7003751,42.022507
4782,87,2025-10-26 12:00:00,73.94,75.61745,1.6774445,11.0,9.4839115,1.5160885,90.96531
4782,87,2025-10-26 13:00:00,75.68,76.78289,1.10289,10.000001,8.952214,1.0477867,62.867203
5684,56,2025-10-26 13:00:00,89.36,88.92663,0.4333725,3.0,2.45371,0.5462899,32.777397
4782,87,2025-10-26 14:00:00,77.32,78.95888,1.6388779,9.0,7.905587,1.0944128,65.664764
5684,56,2025-10-26 14:00:00,89.96,89.87243,0.08757019,2.0,1.6015489,0.3984511,23.907066
5629,53,2025-10-26 14:00:00,80.59,76.814316,3.7756805,13.000001,9.795866,3.204135,192.2481
5629,53,2025-10-26 15:00:00,81.24,77.47161,3.7683868,11.999999,9.659508,2.3404913,140.42947
4782,87,2025-10-26 15:00:00,78.78,81.35203,2.572029,8.0,6.848493,1.1515069,69.090416
4782,87,2025-10-26 16:00:00,80.59,82.3711,1.781105,7.0,6.119419,0.8805809,52.834854
5629,53,2025-10-26 16:00:00,82.45,78.2601,4.1898956,11.0,9.476977,1.5230227,91.38136
4782,87,2025-10-26 17:00:00,82.12,83.28388,1.1638794,5.9999995,5.643641,0.35635853,21.381512
5629,53,2025-10-26 17:00:00,83.46,79.91911,3.540886,10.000001,8.996882,1.0031185,60.18711
5629,53,2025-10-26 18:00:00,84.6,81.76403,2.835968,9.0,7.9557543,1.0442457,62.654743
4782,87,2025-10-26 18:00:00,84.45,84.45856,0.008560181,5.0,4.8113556,0.18864441,11.318665
5629,53,2025-10-26 19:00:00,85.48,82.80976,2.6702423,8.0,6.8004026,1.1995974,71.975845
4782,87,2025-10-26 19:00:00,86.36,86.76397,0.4039688,4.0,3.6683345,0.33166552,19.899931
5629,53,2025-10-26 20:00:00,86.49,84.58575,1.9042511,7.0,5.953273,1.0467272,62.80363
4782,87,2025-10-26 20:00:00,88.3,88.39227,0.0922699,3.0,2.7788265,0.22117352,13.2704115
5629,53,2025-10-26 21:00:00,87.73,85.87337,1.856636,5.9999995,5.194773,0.8052263,48.31358
4782,87,2025-10-26 21:00:00,89.84,89.30876,0.53123474,2.0,2.1341114,0.1341114,8.046684
